capability,worker_id,first_task_end_ms,last_task_end_ms,active_span_days,task_count,hidden_calibration_exposures,reentry30_count,final_reputation
52,3,1654767170123,1654770357498,0.03689091435185185,17,0,0,0.5
52,11,1654767657216,1654768159673,0.005815474537037037,3,0,0,0.5
52,54,1654747169565,1654784721393,0.4346276388888889,2060,88,0,0.6388353912985805
52,57,1654671656994,1654786351555,1.3274833449074075,17768,878,0,0.3037721249030326
52,59,1654672871329,1654786351555,1.3134285416666667,15938,799,0,0.21820110410890906
52,61,1654671656994,1654786351555,1.3274833449074075,17606,865,0,0.21881008221570758
52,64,1654672827790,1654786351555,1.3139324652777777,3200,181,0,0.6530700946840695
52,67,1654684399350,1654786351555,1.1800023726851852,12400,595,0,0.20542867562523387
52,77,1654671893464,1654786351555,1.324746423611111,14332,707,0,0.41247012828742746
52,80,1654672952933,1654786340981,1.3123616666666666,6070,294,0,0.776576606826232
52,91,1654672302002,1654785730241,1.3128268402777779,8249,387,0,0.7453907221342622
52,99,1654673251775,1654779245714,1.2267817013888889,1835,94,0,0.5800648989173847
52,105,1654672032401,1654786351555,1.3231383564814816,13371,673,0,0.30874751988865223
52,113,1654767583724,1654786351555,0.21722026620370372,1574,76,0,0.775242578146997
52,126,1654676225532,1654786318020,1.2742186111111111,1313,66,0,0.35120141947164174
52,128,1654680805861,1654786351555,1.2215936805555556,929,50,0,0.6510562546975248
52,129,1654763628895,1654784320304,0.23948390046296297,57,1,0,0.55
52,153,1654675733465,1654678596326,0.033134965277777775,292,19,0,0.42219810174241196
52,160,1654689647767,1654786046659,1.1157279166666667,1886,94,0,0.40606416269676293
52,161,1654767301578,1654769910622,0.03019726851851852,37,0,0,0.5
52,164,1654671753875,1654786288004,1.3256264930555555,667,42,0,0.6716885455672811
52,215,1654755088278,1654757264045,0.025182488425925926,186,7,0,0.3385851029513889
52,229,1654748351002,1654780234899,0.36902658564814816,288,5,0,0.6105925
52,248,1654673504450,1654786348772,1.3060685416666666,4931,256,0,0.5266304424268605
52,249,1654671656994,1654780496514,1.2597166666666666,4688,233,0,0.20045239994363162
52,252,1654678965861,1654784198757,1.2179733333333334,1202,51,0,0.43176918536610387
52,253,1654763291709,1654764171752,0.010185682870370371,32,1,0,0.55
52,263,1654753925151,1654785429211,0.3646303240740741,911,37,0,0.46422621888410065
