capability,worker_id,first_task_end_ms,last_task_end_ms,active_span_days,task_count,hidden_calibration_exposures,reentry30_count,final_reputation
126,128,1671619277611,1671633108384,0.1600783912037037,710,46,0,0.2838614396424264
126,252,1671617736583,1671622767194,0.05822466435185185,200,17,0,0.6596376475719004
126,301,1671615372610,1671631381785,0.18529137731481482,200,8,0,0.7249792825000001
126,314,1671620517020,1671635438031,0.1726968865740741,2507,122,0,0.6388290975818013
126,315,1671621971747,1671632976299,0.1273675,730,44,0,0.3352063590023234
126,422,1671625473909,1671632560497,0.08202069444444444,127,8,0,0.47236329343750005
126,431,1671626704915,1671635438031,0.10107773148148148,1438,68,0,0.6710913225225308
126,770,1671429026549,1671429748823,0.008359652777777778,5,0,0,0.5
126,806,1671625371444,1671634386662,0.10434280092592593,1001,40,0,0.5163172779486321
126,832,1671617050425,1671621390188,0.05022873842592593,200,5,0,0.704755
126,885,1671429204745,1671429733964,0.006125219907407407,16,0,0,0.5
126,1000,1671429026549,1671632976299,2.360529513888889,65,2,0,0.5950000000000001
126,1014,1671623134671,1671633278514,0.11740559027777778,1489,85,0,0.6383840901250807
126,1139,1671621475640,1671634097298,0.14608400462962964,1939,91,0,0.28925258884464794
126,1180,1671615545357,1671621183235,0.06525321759259259,200,6,0,0.6088832500000001
126,1330,1671621371692,1671626755285,0.062310104166666665,599,21,0,0.7678566333327302
126,1572,1671622780795,1671632808044,0.11605612268518518,649,32,0,0.590901150118566
126,1682,1671626823320,1671626935752,0.0013012962962962963,12,0,0,0.5
126,1688,1671616644242,1671618815509,0.02513040509259259,100,7,0,0.6163282583333334
126,1886,1671621020575,1671633467370,0.14406012731481482,200,7,0,0.5578379875000001
126,2067,1671429263944,1671632534520,2.3526687037037037,1015,48,0,0.3799530673632212
126,2072,1671619560848,1671625556956,0.06939939814814815,992,49,0,0.4035287245552536
126,2073,1671428978223,1671633834062,2.3710166550925926,450,20,0,0.5368554733058849
126,2197,1671620695455,1671628330633,0.08837011574074075,505,37,0,0.42272394058239526
126,2204,1671630962697,1671632140770,0.013635104166666667,40,1,0,0.55
126,2228,1671625226699,1671633859416,0.09991570601851851,863,39,0,0.5503336236373115
126,2444,1671625924573,1671632534520,0.0765040162037037,46,2,0,0.4658333333333334
126,2513,1671429973899,1671627282267,2.2836616666666667,90,4,0,0.34096273148148154
126,2801,1671615005477,1671632813759,0.206114375,1154,62,0,0.2083882192184734
126,2828,1671429732879,1671632868040,2.351101400462963,578,32,0,0.37804715725667615
126,2851,1671625133846,1671631842744,0.07764928240740741,100,5,0,0.5820925000000001
126,3012,1671619961660,1671623325572,0.038934166666666666,100,7,0,0.5578379875000001
126,3025,1671624327876,1671630163471,0.0675416087962963,705,47,0,0.7556513797584292
126,3092,1671625703581,1671634096090,0.09713552083333334,499,24,0,0.5535615701014067
126,3368,1671429952539,1671429952539,0.0,1,0,0,0.5
126,4413,1671618209605,1671628455576,0.11858762731481481,110,7,0,0.4375090534722223
126,4423,1671627698229,1671628330633,0.007319490740740741,38,3,0,0.6355000000000001
126,4730,1671624390164,1671632803433,0.0973757986111111,421,22,0,0.6061415174446463
126,4802,1671429943441,1671620972323,2.2109824305555557,39,3,0,0.5025833333333334
126,5166,1671429084319,1671624569103,2.2625553703703702,537,27,0,0.37585073133654995
126,5185,1671428978223,1671429330200,0.00407380787037037,28,1,0,0.55
126,5223,1671429094919,1671429732879,0.007383796296296296,24,0,0,0.5
126,5279,1671429605755,1671429748823,0.0016558796296296295,5,0,0,0.5
126,5281,1671429226351,1671429230739,5.078703703703704e-05,2,0,0,0.5
126,5520,1671623110243,1671624835759,0.01997125,100,2,0,0.5950000000000001
126,5521,1671624301482,1671631814130,0.08695194444444444,600,27,0,0.4877373380585886
126,5522,1671620247323,1671629929370,0.11206072916666666,2118,102,0,0.43895831573919963
126,5557,1671627224153,1671634175175,0.08045164351851852,121,3,0,0.3137291666666668
126,5589,1671429379281,1671627270467,2.2904072453703703,128,8,0,0.44759325177083337
126,5592,1671429726922,1671429748823,0.0002534837962962963,4,0,0,0.5
126,5594,1671616195699,1671633773276,0.20344417824074074,198,8,0,0.4726421621875001
126,5612,1671429225365,1671633231144,2.361177997685185,1947,107,0,0.4176379601482421
126,5614,1671623489688,1671632792524,0.10767171296296296,395,25,0,0.6956248911216092
126,5662,1671429303730,1671429973899,0.007756585648148148,42,2,0,0.4658333333333334
126,5673,1671625536820,1671633231144,0.08905467592592592,385,16,0,0.6608998284636395
126,5692,1671617265192,1671631434846,0.164000625,331,22,0,0.3829828365805766
126,5710,1671629034710,1671633859416,0.055841504629629626,229,8,0,0.7249792825000001
126,5938,1671628893928,1671631142663,0.026027025462962962,130,4,0,0.3823562500000001
126,5969,1671615483886,1671633498277,0.20849989583333334,1788,102,0,0.42836037612411765
126,6000,1671429722736,1671631570007,2.3361952662037035,427,21,0,0.5784011422384263
126,6020,1671620033677,1671629958044,0.1148653587962963,2046,114,0,0.3373509452367558
126,6072,1671619229188,1671632879859,0.15799387731481482,100,8,0,0.5003664814583334
126,6074,1671429493503,1671629929370,2.319859571759259,99,2,0,0.5950000000000001
126,6089,1671621234780,1671633600760,0.14312476851851852,200,13,0,0.6440965772700815
126,6092,1671429392484,1671635438031,2.384786423611111,1911,106,0,0.2872859241951416
126,6102,1671622531833,1671632829264,0.11918322916666667,100,4,0,0.4271097222222223
126,6140,1671617205501,1671633829696,0.19240966435185186,224,8,0,0.4922631064583335
126,6144,1671619237946,1671629876090,0.12312666666666666,1983,98,0,0.4060410053050893
126,6156,1671618024975,1671635438031,0.20154,1427,71,0,0.6984930378361595
126,6232,1671619498372,1671635438031,0.1844867939814815,657,33,0,0.5026293402924731
